0.	-5.113504570652386
0.002	-5.094175762383979
0.004	-5.074856531856508
0.006	-5.0555470903003235
0.008	-5.036247654858025
0.01	-5.016958448777412
0.012	-4.99767970161148
0.014	-4.978411649425735
0.016	-4.959154535013136
0.018000000000000002	-4.939908608116956
0.02	-4.920674125661883
0.022	-4.901451351993701
0.024	-4.88224055912788
0.026000000000000002	-4.86304202700746
0.028	-4.843856043770569
0.03	-4.82468290602802
0.032	-4.805522919151335
0.034	-4.786376397571685
0.036000000000000004	-4.767243665090121
0.038	-4.748125055199655
0.04	-4.729020911419568
0.042	-4.70993158764254
0.044	-4.690857448495085
0.046	-4.6717988697118455
0.048	-4.65275623852435
0.05	-4.633729954064784
0.052000000000000005	-4.614720427785459
0.054	-4.5957280838945795
0.056	-4.576753359809038
0.058	-4.5577967066249085
0.06	-4.538858589606419
0.062	-4.519939488694147
0.064	-4.501039899033276
0.066	-4.48216033152273
0.068	-4.463301313386106
0.07	-4.444463388765281
0.07200000000000001	-4.425647119337696
0.074	-4.406853084958287
0.076	-4.388081884327143
0.078	-4.369334135683944
0.08	-4.3506104775303704
0.082	-4.331911569381619
0.084	-4.313238092548313
0.08600000000000001	-4.294590750950072
0.088	-4.275970271962111
0.09	-4.257377407296272
0.092	-4.238812933917956
0.094	-4.220277655000496
0.096	-4.201772400918569
0.098	-4.183298030282307
0.1	-4.164855431013864
0.10200000000000001	-4.14644552146822
0.10400000000000001	-4.128069251600149
0.106	-4.109727604179294
0.108	-4.0914215960553895
0.11	-4.073152279475802
0.112	-4.054920743457564
0.114	-4.036728115216259
0.116	-4.0185755616541305
0.11800000000000001	-4.000464290909927
0.12	-3.9823955539730926
0.122	-3.9643706463650057
0.124	-3.9463909098900625
0.126	-3.92845773445954
0.128	-3.910572559991253
0.13	-3.8927368783881593
0.132	-3.87495223559916
0.134	-3.857220233765477
0.136	-3.8395425334560906
0.138	-3.821920855995879
0.14	-3.8043569858901685
0.14200000000000002	-3.786852773349581
0.14400000000000002	-3.769410136919152
0.146	-3.7520310662158507
0.148	-3.734717624778714
0.15	-3.7174719530359757
0.152	-3.7002962713936713
0.154	-3.6831928834503036
0.156	-3.666164179342305
0.158	-3.6492126392251096
0.16	-3.6323408368947767
0.162	-3.615551443555184
0.164	-3.59884723173593
0.166	-3.5822310793661174
0.168	-3.56570597400931
0.17	-3.5492750172649754
0.17200000000000001	-3.5329414293417623
0.17400000000000002	-3.5167085538080163
0.176	-3.5005798625248956
0.178	-3.4845589607674468
0.18	-3.468649592538965
0.182	-3.452855646083836
0.184	-3.43718115960402
0.186	-3.4216303271841007
0.188	-3.406207504929717
0.19	-3.3909172173238984
0.192	-3.375764163805587
0.194	-3.36075322557425
0.196	-3.3458894726241355
0.198	-3.331178171011221
0.2	-3.3166247903554003
0.202	-3.302235011579837
0.20400000000000001	-3.2880147348887303
0.20600000000000002	-3.2739700879839453
0.20800000000000002	-3.260107434520121
0.21	-3.246433382796859
0.212	-3.232954794685561
0.214	-3.2196787947872627
0.216	-3.2066127798165183
0.218	-3.193764428204963
0.22	-3.1811417099166275
0.222	-3.168752896465375
0.224	-3.156606571123034
0.226	-3.1447116393048202
0.228	-3.1330773391165567
0.23	-3.121713252045981
0.232	-3.1106293137780345
0.234	-3.099835825111583
0.23600000000000002	-3.089343462952359
0.23800000000000002	-3.0791632913542357
0.24	-3.0693067725781105
0.242	-3.0597857781347684
0.244	-3.050612599775173
0.246	-3.04179996038862
0.248	-3.033361024766199
0.25	-3.025309410184088
0.252	-3.017659196758241
0.254	-3.01042493751933
0.256	-3.0036216681541124
0.258	-2.99726491635705
0.26	-2.99137071073381
0.262	-2.9859555891965117
0.264	-2.9810366067891665
0.266	-2.9766313428807845
0.268	-2.972757907663224
0.27	-2.9694349478910245
0.272	-2.966681651801305
0.274	-2.964517753153353
0.276	-2.962963534329896
0.278	-2.9620398284451883
0.28	-2.961768020409086
0.28200000000000003	-2.962170046901207
0.28400000000000003	-2.9632683952150614
0.28600000000000003	-2.965086100938758
0.28800000000000003	-2.9676467444464047
0.29	-2.9709744461826504
0.292	-2.9750938607318504
0.294	-2.9800301696729306
0.296	-2.985809073231064
0.298	-2.9924567807475975
0.3	-3.
0.302	-3.008465925413779
0.304	-3.0178822252180337
0.306	-3.028277027605261
0.308	-3.0396789059639846
0.31	-3.0521168632592683
0.312	-3.0656203156410053
0.314	-3.0802190753626597
0.316	-3.095943333093436
0.318	-3.1128236397045885
0.32	-3.1308908876051555
0.322	-3.1501762916938256
0.324	-3.170711369981459
0.326	-3.192527923922973
0.328	-3.2156580184775985
0.33	-3.240133961892907
0.332	-3.265988285180447
0.334	-3.293253721219321
0.336	-3.321963183388685
0.338	-3.352149743591113
0.34	-3.383846609486125
0.342	-3.41708710070738
0.34400000000000003	-3.451904623788002
0.34600000000000003	-3.488332645466964
0.34800000000000003	-3.5264046639953115
0.35000000000000003	-3.5661541780048966
0.352	-3.6076146524444455
0.354	-3.6508194810285
0.356	-3.695801944584527
0.358	-3.7425951646226383
0.36	-3.7912320513910136
0.362	-3.841745245619131
0.364	-3.894167053090063
0.366	-3.9485293711234033
0.368	-4.004863605991742
0.37	-4.063200580237004
0.372	-4.123570428798534
0.374	-4.186002482813706
0.376	-4.250525139904268
0.378	-4.317165719719306
0.38	-4.385950303468883
0.382	-4.456903556153327
0.384	-4.53004853017255
0.386	-4.605406448990313
0.388	-4.682996469531409
0.39	-4.762835422008672
0.392	-4.844937525913391
0.394	-4.9293140809615155
0.396	-5.01597313187141
0.398	-5.1049191059620185
